Model,Accuracy,Precision,Recall,F1 Score,AUC
Logistic Regression,0.8,0.7333333333333333,0.5789473684210527,0.6470588235294118,0.8549422336328627
Random Forest,0.85,0.8571428571428571,0.631578947368421,0.7272727272727273,0.8973042362002568
XGBoost,0.85,0.8571428571428571,0.631578947368421,0.7272727272727273,0.8485237483953787
MLP,0.75,0.6666666666666666,0.42105263157894735,0.5161290322580645,0.7445442875481386
